Date,Date de valeur,Description,Débit,Crédit,Solde
13/06/2023,13/06/2023,Depot en especes  LUI MEME TT23164K5L4W,,300000.0,291780.9
14/06/2023,14/06/2023,DB vente carte etrangere  068350 FT231652YG8Y\BNK  SPOTIFY AB,13625.24,,278155.66
16/06/2023,16/06/2023,Frais de virement FT231672QH82\BNK,2000.0,,276155.66
16/06/2023,16/06/2023,TVA FT231672QH82\BNK,400.0,,275755.66
16/06/2023,16/06/2023,Transfert compte a compte TELMA MOBILE FT231672QH82\BNK   F2306871760 TELMA SA,,249000.0,26755.66
19/06/2023,19/06/2023,DB vente carte etrangere  598360 FT23170LX8ZB\BNK  PAYPAL,4585.42,,22170.24
19/06/2023,19/06/2023,DB vente carte etrangere  598880 FT231704L1H3\BNK  PAYPAL,4585.42,,17584.82
19/06/2023,19/06/2023,DB vente carte etrangere  600300 FT23170R56BG\BNK  PAYPAL,4585.42,,12999.4
19/06/2023,19/06/2023,DB vente carte etrangere  602840 FT23170HSBC4\BNK  PAYPAL,4585.42,,8413.98
19/06/2023,19/06/2023,DB vente carte etrangere  611100 FT23170C513R\BNK  PAYPAL,4585.42,,3828.56
30/06/2023,01/07/2023,TVA 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20230630,2000.0,,1828.56
